ESTADO,MUNICíPIO,VOTOS VALIDOS,VOTOS VALIDOS PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL
CE,Jaguaribe,22008,99.99,193,0.85,393,1.74,5844,20.55
CE,Jaguaruana,21902,99.99,621,2.69,592,2.56,4498,16.29
CE,Jardim,15849,100.00000000000001,166,1.01,406,2.47,5415,24.80
CE,Jati,5177,100.0,64,1.19,138,2.57,1416,20.84
CE,Jijoca de Jericoacoara,14370,99.98999999999998,179,1.20,333,2.24,3320,18.24
CE,Juazeiro do Norte,150334,100.01,1748,1.13,3022,1.95,29236,15.86
CE,Jucás,14533,100.00000000000001,247,1.63,371,2.45,4454,22.72
CE,Lavras da Mangabeira,17653,100.01,185,1.01,406,2.23,5039,21.64
CE,Limoeiro do Norte,37372,100.01,522,1.34,875,2.26,6803,14.93
CE,Madalena,11119,100.01000000000002,103,0.91,190,1.66,2383,17.27
CE,Maracanaú,142981,100.02,2073,1.39,3703,2.49,20279,12.00
CE,Maranguape,65908,100.00000000000001,845,1.24,1543,2.26,10958,13.83
CE,Marco,17405,99.99999999999999,315,1.73,450,2.48,3775,17.20
CE,Martinópole,8248,99.99999999999999,94,1.10,184,2.16,1443,14.47
CE,Massapê,24381,100.00000000000001,552,2.16,653,2.55,6335,19.85
CE,Mauriti,26756,100.0,311,1.12,605,2.19,6633,19.34
CE,Meruoca,10014,100.0,168,1.62,205,1.97,1731,14.28
CE,Milagres,16917,100.00000000000003,193,1.10,415,2.37,4395,20.05
CE,Milhã,8813,99.99,51,0.56,143,1.59,2583,22.29
CE,Miraíma,9349,99.99000000000002,68,0.71,160,1.67,1988,17.19
CE,Missão Velha,23093,99.99000000000002,257,1.08,536,2.24,5217,17.93
CE,Mombaça,23843,100.00000000000001,290,1.17,656,2.65,7020,22.07
CE,Monsenhor Tabosa,10985,100.02000000000001,114,1.01,250,2.20,4355,27.73
CE,Morada Nova,43891,99.99000000000001,610,1.34,1077,2.36,8905,16.34
CE,Moraújo,6034,100.00000000000003,85,1.36,143,2.28,1234,16.46
CE,Morrinhos,13800,99.99000000000001,199,1.39,262,1.84,3150,18.09
CE,Mucambo,9148,100.00999999999998,158,1.65,258,2.70,4035,29.67
CE,Mulungu,6986,99.98000000000002,77,1.07,143,1.98,1465,16.90
CE,Nova Olinda,9671,100.0,113,1.13,188,1.89,2071,17.20
CE,Nova Russas,18224,99.98999999999998,242,1.28,474,2.50,6431,25.35
CE,Novo Oriente,16943,100.01000000000002,217,1.24,468,2.65,6274,26.25
CE,Ocara,19512,100.03,195,0.98,288,1.44,3166,13.67
CE,Orós,13411,99.99000000000002,128,0.93,329,2.37,5067,26.76
CE,Pacajus,42419,99.99000000000002,750,1.70,1168,2.63,6924,13.51
CE,Pacatuba,43119,100.01000000000003,546,1.22,1107,2.47,6831,13.24
CE,Pacoti,8167,100.00000000000001,108,1.27,235,2.76,1842,17.79
CE,Pacujá,4701,99.99000000000001,68,1.39,122,2.49,1480,23.23
CE,Palhano,7373,100.00000000000001,77,1.02,122,1.61,1332,14.96
CE,Palmácia,7418,99.99000000000001,81,1.06,183,2.38,1550,16.79
CE,Paracuru,25081,100.00000000000001,368,1.41,651,2.49,5072,16.27
CE,Paraipaba,21124,99.98000000000002,277,1.27,423,1.94,3627,14.25
CE,Parambu,19559,100.02000000000001,271,1.33,597,2.92,8142,28.50
CE,Paramoti,8029,100.01,60,0.73,155,1.88,1537,15.71
CE,Pedra Branca,25159,99.99999999999999,235,0.90,619,2.38,7618,22.65
CE,Penaforte,6447,100.0,102,1.52,152,2.27,1275,15.99
CE,Pentecoste,25825,100.00999999999999,237,0.89,458,1.73,4858,15.48
CE,Pereiro,10886,100.02000000000002,108,0.97,249,2.21,4080,26.63
CE,Pindoretama,15290,100.00999999999999,170,1.07,377,2.38,2790,14.98
CE,Piquet Carneiro,9412,99.99000000000002,93,0.96,192,1.98,2199,18.49
CE,Pires Ferreira,6601,100.01999999999998,46,0.68,95,1.41,1622,19.39
CE,Poranga,7292,99.98000000000002,51,0.67,217,2.87,2945,28.03
CE,Porteiras,10615,100.00999999999998,84,0.77,230,2.10,2926,21.12
CE,Potengi,5859,100.0,57,0.94,127,2.10,1711,22.07
CE,Potiretama,4785,99.99999999999999,27,0.56,72,1.47,866,15.06
CE,Quiterianópolis,12719,100.01,150,1.14,338,2.56,4167,23.98
CE,Quixadá,47279,99.99,734,1.50,961,1.96,9602,16.39
CE,Quixelô,11913,100.01,168,1.37,204,1.66,1884,13.30
CE,Quixeramobim,46348,100.01000000000002,398,0.84,799,1.68,12459,20.76
CE,Quixeré,14271,100.02,169,1.14,411,2.77,2777,15.75
CE,Redenção,18430,99.99999999999999,343,1.77,532,2.76,3811,16.49
CE,Reriutaba,12139,99.99999999999999,129,1.02,278,2.22,4216,25.15
CE,Russas,46168,100.01000000000002,546,1.15,1053,2.20,8578,15.22
CE,Saboeiro,9126,99.98999999999998,107,1.13,274,2.88,3554,27.21
CE,Salitre,10719,100.00000000000001,93,0.84,207,1.88,3169,22.34
CE,Santa Quitéria,26448,99.99,316,1.16,436,1.60,5873,17.76
CE,Santana do Acaraú,20309,99.99,300,1.43,400,1.90,4830,18.69
CE,Santana do Cariri,10578,99.99999999999999,79,0.73,197,1.81,2288,17.41
CE,São Benedito,27210,100.01,554,1.93,923,3.22,7548,20.83
CE,São Gonçalo do Amarante,37428,99.98,509,1.31,897,2.31,6920,15.12
CE,São João do Jaguaribe,4755,99.99000000000001,62,1.27,78,1.59,1702,25.80
CE,São Luís do Curu,8977,100.0,132,1.41,221,2.37,1963,17.38
CE,Senador Pompeu,16194,100.01,173,1.03,407,2.43,4590,21.48
CE,Senador Sá,5334,100.02,42,0.77,133,2.41,1183,17.68
CE,Sobral,120268,100.00000000000001,2753,2.19,2874,2.28,22806,15.34
CE,Solonópole,11304,100.00999999999999,84,0.72,187,1.62,3267,22.01
CE,Tabuleiro do Norte,19485,100.01,283,1.40,449,2.22,5727,22.07
CE,Tamboril,16440,100.00000000000001,175,1.03,393,2.31,5390,24.06
CE,Tarrafas,5477,100.01000000000002,64,1.12,143,2.52,2053,26.53
CE,Tauá,34830,100.00000000000001,442,1.22,1047,2.88,11197,23.56
CE,Tejuçuoca,12174,99.99000000000001,118,0.94,244,1.95,2301,15.51
CE,Tianguá,44561,99.99000000000001,923,1.97,1451,3.09,8292,15.01
CE,Trairi,36625,100.0,443,1.17,827,2.18,7263,16.08
CE,Tururu,11725,99.99000000000001,177,1.46,243,2.00,2137,14.96
CE,Ubajara,19809,100.0,428,2.05,563,2.71,4292,17.11
CE,Umari,4796,100.00999999999998,49,0.99,104,2.10,1496,23.21
CE,Umirim,12065,100.00000000000003,142,1.14,254,2.04,2770,18.19
CE,Uruburetama,14258,100.00000000000001,187,1.27,354,2.39,2670,15.28
CE,Uruoca,8719,99.98999999999998,83,0.92,188,2.09,1805,16.72
CE,Varjota,12370,100.0,161,1.25,324,2.52,3902,23.29
CE,Várzea Alegre,24316,99.99999999999999,349,1.38,559,2.22,6104,19.48
CE,Viçosa do Ceará,35277,100.01000000000002,531,1.44,932,2.54,8838,19.39
DF,Brasília,1762575,100.01,25162,1.38,32163,1.77,387096,17.54
ES,Afonso Cláudio,17749,100.0,369,1.98,524,2.81,6723,26.51
ES,Água Doce do Norte,7614,100.00999999999999,95,1.20,201,2.54,2722,25.60
ES,Águia Branca,6582,100.0,57,0.84,96,1.43,1848,21.53
ES,Alegre,17675,100.0,316,1.72,414,2.25,5402,22.69
ES,Alfredo Chaves,9235,100.0,209,2.15,257,2.65,2777,22.26
ES,Alto Rio Novo,4411,99.98999999999998,55,1.20,98,2.15,1802,28.31
ES,Anchieta,18081,100.00000000000001,317,1.69,434,2.30,3748,16.60
ES,Apiacá,4614,99.99000000000001,51,1.06,125,2.61,1379,22.35
ES,Aracruz,53436,99.99999999999999,918,1.65,1463,2.62,16414,22.72
ES,Atílio Vivácqua,7010,100.00000000000003,77,1.07,113,1.57,1668,18.81
ES,Baixo Guandu,17804,100.01,314,1.68,504,2.71,5301,22.16
ES,Barra de São Francisco,23587,99.99000000000001,277,1.14,542,2.22,9352,27.70
ES,Boa Esperança,8214,99.99000000000004,114,1.34,193,2.26,2223,20.69
ES,Bom Jesus do Norte,5815,99.98999999999998,73,1.20,218,3.57,1306,17.62
ES,Brejetuba,7174,100.02000000000001,136,1.81,207,2.75,2688,26.34
ES,Cachoeiro de Itapemirim,108189,99.98999999999998,2082,1.86,2186,1.94,29409,20.73
