codigo_tse,uf,MUNICÍPIO,capital,codigo_ibge,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
88196,RS,ROCA SALES,0,4315800,2122,32.78,3740,57.77,163,2.52,387,5.98,0,0.0,989,12.79,142,2.11,125,1.85
88218,RS,RODEIO BONITO,0,4315909,2053,48.22,1958,45.98,90,2.11,136,3.19,0,0.0,742,14.57,50,1.15,44,1.01
89400,RS,ROLADOR,0,4315958,1006,53.23,729,38.57,32,1.69,112,5.93,0,0.0,389,16.62,40,2.05,22,1.13
88234,RS,ROLANTE,0,4316006,4721,35.18,7558,56.31,308,2.29,648,4.83,1,0.01,2320,14.31,249,1.79,226,1.63
88250,RS,RONDA ALTA,0,4316105,3246,53.0,2626,42.88,109,1.78,120,1.96,0,0.0,1040,14.24,91,1.45,48,0.77
88277,RS,RONDINHA,0,4316204,1653,43.33,1941,50.88,82,2.15,105,2.75,0,0.0,657,14.24,89,2.25,54,1.36
88293,RS,ROQUE GONZALES,0,4316303,2148,47.88,2027,45.19,94,2.1,190,4.24,0,0.0,746,13.85,82,1.77,72,1.55
88315,RS,ROSÁRIO DO SUL,0,4316402,12063,52.44,9398,40.85,578,2.51,837,3.64,0,0.0,8386,26.14,397,1.68,295,1.24
87564,RS,SAGRADA FAMÍLIA,0,4316428,955,52.68,706,38.94,95,5.24,41,2.26,0,0.0,388,17.24,31,1.66,18,0.97
85561,RS,SALDANHA MARINHO,0,4316436,825,36.39,1275,56.24,88,3.88,69,3.04,0,0.0,332,12.46,35,1.5,30,1.29
89753,RS,SALTO DO JACUÍ,0,4316451,3292,52.55,2590,41.35,149,2.38,201,3.21,0,0.0,1532,19.14,118,1.82,90,1.39
87580,RS,SALVADOR DAS MISSÕES,0,4316477,842,37.98,1231,55.53,58,2.62,69,3.11,0,0.0,313,11.94,48,2.08,43,1.86
88331,RS,SALVADOR DO SUL,0,4316501,1219,26.4,2931,63.48,83,1.8,313,6.78,0,0.0,668,12.2,96,1.99,95,1.98
88358,RS,SANANDUVA,0,4316600,3341,31.14,6807,63.44,151,1.41,336,3.13,0,0.0,2093,15.82,265,2.38,144,1.29
88374,RS,SANTA BÁRBARA DO SUL,0,4316709,2136,38.45,3088,55.59,142,2.56,153,2.75,0,0.0,1224,17.61,119,2.08,54,0.94
89247,RS,SANTA CECÍLIA DO SUL,0,4316733,466,30.74,930,61.35,44,2.9,63,4.16,0,0.0,252,13.85,35,2.24,17,1.08
87602,RS,SANTA CLARA DO SUL,0,4316758,1265,28.76,2708,61.57,44,1.0,342,7.78,0,0.0,715,13.37,97,2.09,136,2.94
88390,RS,SANTA CRUZ DO SUL,0,4316808,32029,38.43,43348,52.01,1896,2.28,4623,5.55,7,0.01,19096,18.08,1697,1.97,1474,1.7
89443,RS,SANTA MARGARIDA DO SUL,0,4316972,1026,48.81,889,42.29,43,2.05,135,6.42,0,0.0,462,17.58,36,1.66,28,1.29
88412,RS,SANTA MARIA,0,4316907,72821,45.44,72215,45.07,4428,2.76,8612,5.37,13,0.01,43921,20.95,2997,1.81,2489,1.5
86207,RS,SANTA MARIA DO HERVAL,0,4316956,1490,33.6,2502,56.43,100,2.26,271,6.11,0,0.0,472,9.13,106,2.26,157,3.34
88471,RS,SANTA ROSA,0,4317202,15136,32.67,28139,60.74,934,2.02,1744,3.76,2,0.0,10189,17.67,626,1.32,533,1.12
87629,RS,SANTA TEREZA,0,4317251,390,26.97,963,66.6,25,1.73,49,3.39,0,0.0,220,12.76,30,2.0,28,1.86
88498,RS,SANTA VITÓRIA DO PALMAR,0,4317301,10313,60.05,5034,29.31,454,2.64,1284,7.48,1,0.01,6724,27.41,332,1.87,298,1.67
88439,RS,SANTANA DA BOA VISTA,0,4317004,2428,50.89,1867,39.13,99,2.08,326,6.83,0,0.0,1356,21.06,215,4.23,98,1.93
88455,RS,SANT'ANA DO LIVRAMENTO,0,4317103,28430,56.23,18225,36.05,1192,2.36,2292,4.53,7,0.01,21529,29.23,986,1.89,585,1.12
88510,RS,SANTIAGO,0,4317400,13177,43.98,14566,48.62,637,2.13,1351,4.51,1,0.0,9898,24.17,650,2.09,446,1.44
88552,RS,SANTO ANTÔNIO DA PATRULHA,0,4317608,10837,42.36,12494,48.84,626,2.45,1350,5.28,2,0.01,7289,21.42,670,2.51,484,1.81
