ESTADO,MUNICíPIO,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
RS,Teutônia,7230,35.35,11289,55.2,613,3.0,1083,5.3,0,0.0,3813,15.23,344,1.63,421,1.98
RS,Tio Hugo,860,40.39,1099,51.62,101,4.74,61,2.87,0,0.0,332,13.14,39,1.77,26,1.19
RS,Tiradentes do Sul,1941,54.35,1446,40.49,68,1.9,103,2.88,0,0.0,875,19.12,53,1.43,78,2.11
RS,Toropi,862,39.63,1137,52.28,39,1.79,118,5.43,0,0.0,391,14.61,69,3.02,41,1.79
RS,Torres,8732,37.69,12306,53.12,713,3.08,1153,4.98,0,0.0,7183,22.84,476,1.96,625,2.58
RS,Tramandaí,11047,41.95,12879,48.91,802,3.05,1369,5.2,3,0.01,10014,26.85,499,1.83,445,1.63
RS,Travesseiro,706,42.33,836,50.12,33,1.98,79,4.74,0,0.0,235,11.99,27,1.56,30,1.74
RS,Três Arroios,644,32.06,1185,58.98,82,4.08,83,4.13,0,0.0,363,14.78,48,2.29,36,1.72
RS,Três Cachoeiras,1796,26.98,4357,65.46,172,2.58,270,4.06,0,0.0,1042,13.24,78,1.14,93,1.36
RS,Três Coroas,4509,31.45,8743,60.99,356,2.48,562,3.92,1,0.01,2615,14.94,294,1.97,257,1.73
RS,Três Forquilhas,1073,46.61,1046,45.44,40,1.74,136,5.91,0,0.0,483,16.81,43,1.80,46,1.92
RS,Três Palmeiras,1792,56.28,1228,38.57,73,2.29,74,2.32,0,0.0,598,15.40,68,2.07,33,1.00
RS,Três Passos,6939,45.82,7254,47.9,284,1.88,556,3.67,1,0.01,2764,15.00,226,1.45,287,1.83
