muncod,Lula,Padre Kelmon,Sofia Manzano,Constituinte Eymael,Soraya Thronicke,Ciro Gomes,Vera,Simone Tebet,Jair Bolsonaro,Felipe D'Avila,Léo Péricles
rn17876,12280,5,2,4,16,592,2,127,3513,13,2
rn17892,2405,0,0,0,7,107,0,37,695,1,0
rn17914,1802,0,1,2,5,78,0,38,680,2,0
rn17930,3395,0,1,0,11,164,0,80,1058,3,1
rn17957,6490,3,1,0,20,308,0,105,2066,2,0
rn17973,6626,4,3,2,7,236,1,111,1551,3,0
rn17990,2345,0,0,0,1,51,1,16,294,1,0
rn18031,3495,3,1,0,16,299,0,89,1233,6,1
rn16284,3001,0,1,2,4,144,0,37,686,6,1
rn18015,6922,2,1,0,18,213,2,135,1506,3,0
rn18074,4479,2,2,2,20,190,1,95,1311,3,0
rn18090,3193,1,1,0,1,97,0,25,598,3,2
rn18937,1767,1,0,0,3,96,2,41,958,0,0
rn18112,1811,0,2,0,3,77,0,21,362,1,0
rn18139,2529,2,0,1,4,74,0,21,393,1,1
rn18155,3667,4,2,0,9,152,0,54,1288,3,0
rn16268,4766,4,0,0,23,225,2,129,2813,6,0
rn18171,2611,2,0,0,5,118,0,54,555,4,3
rn18198,1701,1,0,0,16,72,0,55,1304,0,0
rn18236,13939,6,7,4,20,758,5,220,5615,14,5
rn16241,2560,2,0,0,10,97,0,50,918,2,0
rn18279,6724,3,1,0,18,385,1,102,1551,3,1
rn18252,1317,2,1,0,4,127,1,44,614,7,0
rn18295,10080,3,2,3,14,507,2,182,3415,17,2
rn18597,3123,4,0,1,8,114,0,51,1079,3,0
rn18619,2013,0,0,0,10,77,0,63,890,3,0
rn18058,4522,2,2,1,6,165,0,88,1761,4,1
rn18635,2991,1,0,1,10,162,0,55,1032,2,0
rn16020,5886,4,2,2,14,394,2,113,3010,6,2
rn18651,3358,1,0,0,8,155,0,45,1343,4,1
rn18678,3618,3,2,0,10,194,1,99,1302,5,0
rn16209,2669,1,1,1,4,71,1,45,478,3,0
rn18694,4233,1,1,0,10,241,0,71,801,3,0
rn18317,2198,2,0,0,6,100,0,51,617,3,0
rn18333,2310,1,1,0,9,96,0,49,697,6,0
rn18350,2096,0,1,0,3,112,0,44,671,1,0
rn18210,2358,2,1,0,5,161,0,45,552,1,0
rn18376,33841,30,10,4,191,1777,9,1337,21368,98,26
rn18414,15481,9,11,1,73,656,6,562,8218,15,4
rn18430,5148,2,2,2,21,206,3,83,2438,6,1
rn18457,2689,1,2,0,5,119,0,77,714,2,0
rn18392,3157,3,2,1,6,121,1,130,870,11,1
rn18473,10381,4,1,0,26,521,6,108,2040,18,1
rn16063,4568,4,1,0,11,209,1,103,2047,4,0
rn18490,6085,3,2,1,16,340,0,187,4257,9,2
rn18511,3439,0,2,1,12,129,0,84,1196,2,0
rn18538,4033,1,2,0,16,242,0,69,1388,4,1
rn18554,3977,2,0,1,24,175,3,89,2924,1,0
rn18570,2788,3,1,0,5,110,1,64,1020,5,1
rn18716,3021,1,2,1,4,95,0,46,641,2,2
rn18732,1743,2,0,1,2,69,0,25,500,4,1
rn18759,6286,5,4,0,18,253,0,148,1499,2,1
rn18775,5732,3,1,0,17,342,1,121,2697,7,0
rn18791,4700,1,1,0,6,134,2,67,1280,1,0
rn16004,2903,2,0,0,5,132,0,68,976,2,1
rn16225,3427,4,0,0,1,175,0,58,1475,1,1
rn18813,6362,2,1,0,24,218,0,169,3084,15,2
rn18830,1424,1,0,1,0,50,0,35,562,0,0
rn18856,12838,7,6,2,41,534,5,316,6809,11,5
rn16128,2244,1,1,0,5,86,0,34,859,1,0
rn18872,5270,0,0,0,12,242,3,67,1143,6,0
rn18899,5631,2,5,1,3,400,4,98,3273,10,1
rn16187,2329,2,1,0,5,81,0,30,293,3,0
rn18953,5188,4,2,0,24,222,1,177,2273,8,5
rn18996,1783,0,0,0,5,65,0,22,536,1,0
rn18970,1106,2,1,0,3,45,0,21,259,1,0
rn18910,2540,2,0,0,9,122,0,37,1202,0,0
rn16071,1914,2,2,0,2,67,1,14,244,3,1
ro00310,3976,10,4,1,113,190,1,377,9034,11,1
ro00736,1957,5,0,0,42,126,0,193,3961,4,0
ro00639,2042,5,2,1,25,120,1,175,6020,15,0
ro00337,2819,6,1,0,55,168,2,252,4766,22,4
ro00078,10539,32,16,2,242,873,6,1431,36941,147,17
ro00779,3249,8,5,0,85,240,0,329,11602,27,1
ro00450,1136,2,1,1,14,44,0,101,2206,10,0
ro00620,723,0,1,2,9,36,1,102,2046,4,0
ro00094,11986,38,9,6,273,1045,7,1638,34681,169,14
ro00671,1489,5,1,0,34,91,0,182,3647,6,1
ro00477,5124,8,2,1,94,200,2,478,7449,21,0
ro00531,887,1,1,1,16,40,0,65,1236,3,0
ro00272,1953,5,4,1,63,148,0,287,7323,13,2
ro00809,1683,3,4,0,20,69,0,105,3137,9,0
ro00230,2534,8,1,0,59,152,2,309,6620,21,1
ro00655,1520,2,0,0,35,89,0,147,2493,5,0
ro00213,2551,2,1,1,37,77,0,189,3883,5,0
ro00680,1810,12,2,1,47,84,2,175,5603,14,2
ro00256,4277,15,4,0,118,298,1,482,12531,34,0
ro00612,1543,6,1,1,28,103,1,175,3415,17,0
ro00019,7028,11,1,2,109,423,1,785,12157,31,7
ro00493,1707,4,0,0,27,100,0,143,2481,10,1
ro00159,6846,19,14,1,210,516,4,811,20725,48,3
ro00051,16470,56,19,6,371,1305,11,2096,47429,179,13
ro00396,4730,17,1,2,76,263,5,493,10612,18,1
ro00604,1536,5,0,0,26,86,0,121,2737,7,0
ro00574,2333,6,1,0,23,137,1,161,3711,5,0
ro00663,1816,4,0,0,37,105,1,227,4969,2,0
ro00370,2785,7,0,0,57,215,3,285,6909,5,0
ro00434,3037,3,1,0,46,197,2,225,9627,10,1
ro00744,1749,1,1,0,21,76,0,72,2129,8,0
ro00515,1853,2,0,1,34,107,0,186,3127,7,0
ro00175,5740,10,11,2,108,457,1,605,13523,26,4
ro00701,957,1,0,0,23,50,0,62,1346,4,0
ro00116,4887,10,6,1,93,342,3,572,13773,45,2
ro00787,502,2,0,0,6,16,0,54,902,0,1
ro00035,92037,309,83,62,2182,7919,56,12243,152878,1141,108
ro00191,2889,6,2,3,83,209,1,401,7589,27,2
ro00728,581,2,1,0,8,48,0,65,1486,3,0
ro00647,599,1,0,0,15,28,0,72,1640,2,0
ro00299,7538,18,8,2,197,639,9,840,19711,56,5
ro00353,1576,2,0,0,51,82,0,182,2875,7,1
ro00582,2462,5,0,1,32,111,0,220,4401,9,0
ro00710,1017,1,1,0,22,53,0,181,2061,4,0
ro00795,2633,5,1,1,45,130,0,227,6162,4,1
ro00418,3986,8,1,0,84,250,1,420,7845,15,0
ro00752,1106,1,1,0,15,39,0,66,1746,1,0
ro00590,1785,3,2,0,54,97,1,204,3519,6,2
ro00566,2159,5,1,2,36,139,2,175,4102,3,0
ro00698,1306,1,2,0,21,94,0,158,3061,5,1
ro00558,1517,5,1,0,26,91,1,101,2607,1,0
ro00132,10784,46,13,6,230,836,10,1572,34872,152,8
rr03050,2362,7,0,0,37,129,1,399,6130,5,0
rr03042,1193,3,0,0,16,85,0,178,4005,4,0
